Time Step,difference,close,far,ratio
390,19.68059104,89.27687561,69.59628457,0.779555558
,,,,
391,19.6602346,89.3792644,69.7190298,0.780035842
,,,,
392,19.71084659,89.67490318,69.96405659,0.780196623
,,,,
393,19.55792279,89.76147633,70.20355354,0.782112287
,,,,
394,19.74682569,90.06283332,70.31600763,0.780743899
,,,,
395,19.51353172,90.12720684,70.61367511,0.783489
,,,,
396,19.70545514,90.31878423,70.6133291,0.781823291
,,,,
397,19.48195628,90.47337642,70.99142013,0.784666417
,,,,
398,19.7706962,90.72205829,70.95136209,0.78207399
,,,,
399,19.51666533,90.82853354,71.31186822,0.785126275
,,,,
400,19.84840639,91.15541041,71.30700402,0.782257506
,,,,
401,19.4984957,91.26661987,71.76812417,0.786356767
,,,,
402,19.68056696,91.46886308,71.78829612,0.784838618
,,,,
403,19.61130634,91.68150344,72.0701971,0.786093098
,,,,
404,19.71085335,91.83932165,72.1284683,0.785376754
,,,,
405,19.65240259,92.0267292,72.37432661,0.786448972
,,,,
406,19.91060705,92.22186691,72.31125986,0.784101019
,,,,
407,19.57069624,92.31218542,72.74148918,0.787994444
,,,,
408,19.74124661,92.49772555,72.75647894,0.78657587
,,,,
409,19.47180599,92.7011706,73.22936461,0.789950808
,,,,
410,19.87996854,92.89098949,73.01102094,0.78598604
,,,,
411,19.49054227,93.00710493,73.51656265,0.790440286
,,,,
412,19.78580164,93.18383595,73.39803431,0.787669166
,,,,
413,19.58755185,93.38163648,73.79408463,0.79024193
,,,,
414,19.73024784,93.62086656,73.89061872,0.789253736
,,,,
415,19.53557918,93.70132071,74.16574153,0.791512232
,,,,
416,19.68839737,93.90302311,74.21462574,0.790332657
,,,,
417,19.49741212,94.13625082,74.6388387,0.792880936
,,,,
418,19.59064364,94.22992144,74.63927781,0.792097422
,,,,
419,19.53943068,94.57134537,75.0319147,0.793389524
,,,,
420,19.56610493,94.73598515,75.16988022,0.793467024
,,,,
421,19.41768973,94.82984397,75.41215424,0.795236511
,,,,
422,19.73096427,95.10794877,75.3769845,0.792541375
,,,,
423,19.49288393,95.25195097,75.75906703,0.795354492
,,,,
424,19.55523227,95.40304193,75.84780966,0.795025066
,,,,
425,19.35660665,95.5598436,76.20323695,0.79743995
,,,,
426,19.61336693,95.76476752,76.15140059,0.795192246
,,,,
427,19.45313155,95.92520096,76.47206941,0.797205204
,,,,
428,19.6380606,96.15262166,76.51456106,0.795761569
,,,,
429,19.36187675,96.27728544,76.91540869,0.798894655
,,,,
430,19.51609124,96.45136883,76.93527759,0.797658743
,,,,
431,19.43068927,96.65684271,77.22615343,0.79897244
,,,,
432,19.39220378,96.74044956,77.34824578,0.799543998
,,,,
433,19.44614533,96.99705663,77.5509113,0.799518192
,,,,
434,19.5922426,97.15151439,77.55927179,0.798333122
,,,,
435,19.49713272,97.30906645,77.81193373,0.799637039
